species_pair,phenotype_group,total_genome_pair,positive_genome_pair,transfer_rate,phylogeny,diff
238_3-336_1,non-IBD,21,0,0,1.8308330859999995,0
238_3-43_1,IBD,18,0,0,2.302292977,0
238_3-43_1,non-IBD,21,0,0,2.302292977,0
238_3-44_3,IBD,96,0,0,2.3080755549999994,0
238_3-44_3,non-IBD,21,0,0,2.3080755549999994,0
238_3-45_1,IBD,596,0,0,2.387541867999999,0
238_3-45_1,non-IBD,24,0,0,2.387541867999999,0
238_3-66_5,IBD,346,0,0,1.9298894209999995,0
238_3-66_5,non-IBD,106,0,0,1.9298894209999995,0
239_1-66_5,IBD,42,0,0,1.9298925609999995,0
239_1-66_5,non-IBD,13,0,0,1.9298925609999995,0
240_1-335_1,IBD,16,0,0,1.874376056,0
240_1-335_1,non-IBD,268,0,0,1.874376056,0
240_1-338_1,IBD,16,0,0,1.908541838,0
240_1-338_1,non-IBD,133,0,0,1.908541838,0
240_1-45_1,IBD,19,0,0,2.449073385999999,0
240_1-45_1,non-IBD,93,0,0,2.449073385999999,0
240_1-66_5,IBD,31,0,0,1.991420939,0
240_1-66_5,non-IBD,87,0,0,1.991420939,0
252_1-335_1,IBD,26,0,0,1.5531333069999995,0
252_1-335_1,non-IBD,61,0,0,1.5531333069999995,0
252_1-45_1,IBD,36,0,0,2.127830637,0
252_1-45_1,non-IBD,37,0,0,2.127830637,0
252_1-66_5,IBD,24,0,0,1.67017819,0
252_1-66_5,non-IBD,45,0,0,1.67017819,0
26_2-283_1,IBD,12,0,0,2.318840725,0
26_2-283_1,non-IBD,15,0,0,2.318840725,0
26_2-326_1,IBD,24,0,0,1.930340381,0
26_2-326_1,non-IBD,120,0,0,1.930340381,0
26_2-330_1,IBD,20,0,0,2.03266083,0
26_2-330_1,non-IBD,58,0,0,2.03266083,0
26_2-334_1,IBD,45,0,0,2.014132645,0
26_2-334_1,non-IBD,94,0,0,2.014132645,0
26_2-335_1,IBD,698,0,0,2.011336148,0
26_2-335_1,non-IBD,2113,0,0,2.011336148,0
26_2-338_1,IBD,807,0,0,2.0455019299999995,0
26_2-338_1,non-IBD,1505,0,0,2.0455019299999995,0
26_2-42_2,IBD,17,6,0.35294117647058826,0.490794003,0.1490576813249572
26_2-42_2,non-IBD,103,21,0.20388349514563106,0.490794003,0.1490576813249572
26_2-44_1,IBD,125,22,0.176,0.5024551509999999,-0.17535135135135138
26_2-44_1,non-IBD,37,13,0.35135135135135137,0.5024551509999999,-0.17535135135135138
26_2-44_3,IBD,26,5,0.19230769230769232,0.5031655909999997,-0.09115687462144154
26_2-44_3,non-IBD,127,36,0.28346456692913385,0.5031655909999997,-0.09115687462144154
26_2-45_1,IBD,1008,339,0.33630952380952384,0.1778537720000002,-0.2370417547907453
26_2-45_1,non-IBD,743,426,0.5733512786002691,0.1778537720000002,-0.2370417547907453
26_2-46_1,IBD,71,4,0.056338028169014086,0.4512552799999998,-0.3722334004024145
26_2-46_1,non-IBD,238,102,0.42857142857142855,0.4512552799999998,-0.3722334004024145
26_2-48_2,IBD,175,68,0.38857142857142857,0.5134772799999996,-0.035228153892036984
26_2-48_2,non-IBD,479,203,0.42379958246346555,0.5134772799999996,-0.035228153892036984
26_2-66_5,IBD,59,0,0,1.924133625,0
26_2-66_5,non-IBD,1139,0,0,1.924133625,0
26_2-96_1,IBD,41,0,0,2.554473698,0
26_2-96_1,non-IBD,72,0,0,2.554473698,0
26_2-97_1,IBD,66,0,0,2.5866217789999992,0
26_2-97_1,non-IBD,56,0,0,2.5866217789999992,0
267_1-335_1,IBD,87,0,0,1.827533756,0
267_1-335_1,non-IBD,17,0,0,1.827533756,0
268_1-66_5,IBD,17,0,0,1.9624474569999992,0
268_1-66_5,non-IBD,37,0,0,1.9624474569999992,0
269_1-335_1,IBD,44,0,0,1.8404988229999992,0
269_1-335_1,non-IBD,51,0,0,1.8404988229999992,0
283_1-338_1,IBD,120,0,0,1.7548839909999996,0
283_1-338_1,non-IBD,198,0,0,1.7548839909999996,0
283_1-45_1,IBD,112,0,0,2.2954155389999995,0
283_1-45_1,non-IBD,76,0,0,2.2954155389999995,0
283_1-48_2,IBD,34,0,0,2.226260915,0
283_1-48_2,non-IBD,133,0,0,2.226260915,0
283_1-66_5,IBD,57,0,0,1.837763092,0
283_1-66_5,non-IBD,225,0,0,1.837763092,0
297_1-335_1,IBD,15,0,0,1.662755157,0
297_1-335_1,non-IBD,62,0,0,1.662755157,0
297_1-338_1,IBD,42,0,0,1.6969209389999995,0
297_1-338_1,non-IBD,58,0,0,1.6969209389999995,0
297_1-45_1,IBD,36,0,0,2.237452487,0
297_1-45_1,non-IBD,14,0,0,2.237452487,0
297_1-66_5,IBD,27,0,0,1.77980004,0
297_1-66_5,non-IBD,31,0,0,1.77980004,0
298_1-335_1,IBD,54,0,0,1.876371791,0
298_1-335_1,non-IBD,54,0,0,1.876371791,0
298_1-338_1,IBD,22,0,0,1.910537573,0
298_1-338_1,non-IBD,69,0,0,1.910537573,0
298_1-45_1,IBD,24,0,0,2.451069121,0
298_1-45_1,non-IBD,19,0,0,2.451069121,0
30_1-335_1,IBD,33,0,0,2.000165646,0
30_1-335_1,non-IBD,153,0,0,2.000165646,0
30_1-45_1,IBD,33,0,0,0.3972282219999998,-0.6666666666666666
30_1-45_1,non-IBD,18,12,0.6666666666666666,0.3972282219999998,-0.6666666666666666
300_1-338_1,IBD,16,0,0,1.917143895,0
300_1-338_1,non-IBD,27,0,0,1.917143895,0
318_19-335_1,IBD,67,0,0,1.0290614379999998,0
318_19-335_1,non-IBD,271,0,0,1.0290614379999998,0
318_19-338_1,IBD,199,0,0,1.06322722,0
318_19-338_1,non-IBD,42,0,0,1.06322722,0
318_19-44_3,IBD,24,0,0,1.777873221,0
318_19-44_3,non-IBD,18,0,0,1.777873221,0
318_19-48_2,IBD,136,3,0.022058823529411766,1.7881849099999998,0.022058823529411766
318_19-48_2,non-IBD,28,0,0,1.7881849099999998,0.022058823529411766
318_19-66_5,IBD,64,0,0,1.399687087,0
318_19-66_5,non-IBD,40,0,0,1.399687087,0
318_21-335_1,IBD,52,0,0,1.028337466,-0.009287925696594427
318_21-335_1,non-IBD,323,3,0.009287925696594427,1.028337466,-0.009287925696594427
318_21-66_5,IBD,104,0,0,1.398963115,0
318_21-66_5,non-IBD,165,0,0,1.398963115,0
318_24-338_1,IBD,84,0,0,1.062047622,0
318_24-338_1,non-IBD,12,0,0,1.062047622,0
318_24-48_2,IBD,33,0,0,1.7870053119999998,0
318_24-48_2,non-IBD,12,0,0,1.7870053119999998,0
318_24-66_5,IBD,27,0,0,1.398507489,0
318_24-66_5,non-IBD,12,0,0,1.398507489,0
318_38-335_1,IBD,32,0,0,1.0304847499999998,0
318_38-335_1,non-IBD,113,0,0,1.0304847499999998,0
318_56-32_1,IBD,32,0,0,1.7649473759999998,0
318_56-32_1,non-IBD,258,0,0,1.7649473759999998,0
318_56-326_1,IBD,27,0,0,0.59222312,-0.041666666666666664
318_56-326_1,non-IBD,120,5,0.041666666666666664,0.59222312,-0.041666666666666664
318_56-334_1,IBD,44,0,0,1.0317779100000002,0
318_56-334_1,non-IBD,229,0,0,1.0317779100000002,0
318_56-335_1,IBD,842,0,0,1.028981413,-2.952465308532625e-4
318_56-335_1,non-IBD,3387,1,2.952465308532625e-4,1.028981413,-2.952465308532625e-4
318_56-338_1,IBD,292,0,0,1.063147195,-3.4352456200618345e-4
318_56-338_1,non-IBD,2911,1,3.4352456200618345e-4,1.063147195,-3.4352456200618345e-4
318_56-39_5,IBD,14,0,0,1.774721962,0
318_56-39_5,non-IBD,110,0,0,1.774721962,0
318_56-42_2,IBD,14,0,0,1.765421608,0
318_56-42_2,non-IBD,116,0,0,1.765421608,0
318_56-44_1,IBD,47,0,0,1.7770827559999998,0
318_56-44_1,non-IBD,97,0,0,1.7770827559999998,0
318_56-44_3,IBD,22,0,0,1.777793196,0
318_56-44_3,non-IBD,233,0,0,1.777793196,0
318_56-45_1,IBD,291,0,0,1.857259509,0
318_56-45_1,non-IBD,1193,0,0,1.857259509,0
318_56-48_2,IBD,65,0,0,1.788104885,-0.003656307129798903
318_56-48_2,non-IBD,547,2,0.003656307129798903,1.788104885,-0.003656307129798903
318_56-66_5,IBD,138,0,0,1.399607062,-0.0012315270935960591
318_56-66_5,non-IBD,1624,2,0.0012315270935960591,1.399607062,-0.0012315270935960591
318_56-96_1,IBD,12,0,0,1.825699729,0
318_56-96_1,non-IBD,103,0,0,1.825699729,0
32_1-334_1,IBD,183,0,0,1.898395326,0
32_1-334_1,non-IBD,119,0,0,1.898395326,0
32_1-334_3,IBD,24,0,0,1.9055416899999995,0
32_1-334_3,non-IBD,108,0,0,1.9055416899999995,0
32_1-335_1,IBD,382,0,0,1.895598829,0
32_1-335_1,non-IBD,1524,0,0,1.895598829,0
32_1-336_1,IBD,56,0,0,1.913587377,0
32_1-336_1,non-IBD,14,0,0,1.913587377,0
32_1-338_1,IBD,385,0,0,1.929764611,0
32_1-338_1,non-IBD,1476,0,0,1.929764611,0
32_1-39_5,IBD,56,0,0,0.1786090979999994,-0.410958904109589
32_1-39_5,non-IBD,73,30,0.410958904109589,0.1786090979999994,-0.410958904109589
32_1-42_2,IBD,17,6,0.35294117647058826,0.124894834,0.03921568627450983
32_1-42_2,non-IBD,102,32,0.3137254901960784,0.124894834,0.03921568627450983
32_1-43_1,IBD,72,0,0,0.1314838439999999,-0.16666666666666666
32_1-43_1,non-IBD,72,12,0.16666666666666666,0.1314838439999999,-0.16666666666666666
32_1-44_1,IBD,117,86,0.7350427350427351,0.1365559819999999,0.4694177350427351
32_1-44_1,non-IBD,64,17,0.265625,0.1365559819999999,0.4694177350427351
32_1-44_3,IBD,133,37,0.2781954887218045,0.1372664219999997,0.15589333044842318
32_1-44_3,non-IBD,139,17,0.1223021582733813,0.1372664219999997,0.15589333044842318
32_1-45_1,IBD,682,275,0.4032258064516129,0.4668945849999999,-0.008029604803798385
32_1-45_1,non-IBD,693,285,0.41125541125541126,0.4668945849999999,-0.008029604803798385
32_1-46_1,IBD,116,61,0.5258620689655172,0.2464073789999998,0.30050995628946087
32_1-46_1,non-IBD,142,32,0.22535211267605634,0.2464073789999998,0.30050995628946087
32_1-48_2,IBD,329,220,0.668693009118541,0.1919920209999994,0.3423041202296521
32_1-48_2,non-IBD,432,141,0.3263888888888889,0.1919920209999994,0.3423041202296521
32_1-66_5,IBD,617,0,0,1.808396306,-0.009857612267250822
32_1-66_5,non-IBD,913,9,0.009857612267250822,1.808396306,-0.009857612267250822
32_1-90_1,IBD,22,0,0,2.278710531,0
32_1-90_1,non-IBD,41,0,0,2.278710531,0
32_1-97_1,IBD,27,0,0,2.47088446,0
32_1-97_1,non-IBD,42,0,0,2.47088446,0
321_1-66_5,IBD,144,0,0,1.4684910480000002,0
321_1-66_5,non-IBD,22,0,0,1.4684910480000002,0
325_1-335_1,IBD,20,0,0,1.0981230539999998,0
325_1-335_1,non-IBD,39,0,0,1.0981230539999998,0
325_1-338_1,IBD,13,0,0,1.132288836,0
325_1-338_1,non-IBD,52,0,0,1.132288836,0
325_1-66_5,IBD,14,0,0,1.4687487030000002,0
325_1-66_5,non-IBD,15,0,0,1.4687487030000002,0
326_1-32_1,IBD,135,0,0,1.814603062,0
326_1-32_1,non-IBD,63,0,0,1.814603062,0
326_1-334_1,IBD,161,0,0,1.081433596,0
326_1-334_1,non-IBD,29,0,0,1.081433596,0
326_1-335_1,IBD,547,0,0,1.0786370989999998,0
326_1-335_1,non-IBD,521,0,0,1.0786370989999998,0
326_1-338_1,IBD,529,0,0,1.112802881,-0.001440922190201729
326_1-338_1,non-IBD,1388,2,0.001440922190201729,1.112802881,-0.001440922190201729
326_1-39_5,IBD,70,0,0,1.824377648,0
326_1-39_5,non-IBD,30,0,0,1.824377648,0
326_1-44_1,IBD,29,0,0,1.826738442,0
326_1-44_1,non-IBD,41,0,0,1.826738442,0
326_1-44_3,IBD,38,0,0,1.827448882,0
326_1-44_3,non-IBD,46,0,0,1.827448882,0
326_1-45_1,IBD,204,0,0,1.906915195,0
326_1-45_1,non-IBD,217,0,0,1.906915195,0
326_1-48_2,IBD,113,0,0,1.837760571,0
326_1-48_2,non-IBD,363,0,0,1.837760571,0
326_1-66_5,IBD,598,0,0,1.4492627480000002,-0.019553072625698324
326_1-66_5,non-IBD,716,14,0.019553072625698324,1.4492627480000002,-0.019553072625698324
326_1-90_1,IBD,22,0,0,1.7153295669999995,0
326_1-90_1,non-IBD,21,0,0,1.7153295669999995,0
326_1-96_1,IBD,32,0,0,1.875355415,0
326_1-96_1,non-IBD,67,0,0,1.875355415,0
326_1-97_1,IBD,11,0,0,1.907503496,0
326_1-97_1,non-IBD,40,0,0,1.907503496,0
330_1-335_1,IBD,12,0,0,0.240108116,0
330_1-335_1,non-IBD,494,0,0,0.240108116,0
330_1-338_1,IBD,32,0,0,0.2742738979999997,0
330_1-338_1,non-IBD,748,0,0,0.2742738979999997,0
330_1-45_1,IBD,84,0,0,2.009235643999999,0
330_1-45_1,non-IBD,416,0,0,2.009235643999999,0
330_1-66_5,IBD,38,0,0,1.551583197,0
330_1-66_5,non-IBD,373,0,0,1.551583197,0
330_1-97_1,IBD,18,0,0,2.009823945,0
330_1-97_1,non-IBD,63,0,0,2.009823945,0
334_1-335_1,IBD,460,0,0,0.053550731,-0.057291666666666664
334_1-335_1,non-IBD,1152,66,0.057291666666666664,0.053550731,-0.057291666666666664
334_1-338_1,IBD,579,0,0,0.2038262610000001,-0.03917050691244239
334_1-338_1,non-IBD,1736,68,0.03917050691244239,0.2038262610000001,-0.03917050691244239
334_1-39_5,IBD,63,0,0,1.908169912,0
334_1-39_5,non-IBD,60,0,0,1.908169912,0
334_1-42_2,IBD,17,0,0,1.898869558,0
334_1-42_2,non-IBD,137,0,0,1.898869558,0
334_1-43_1,IBD,18,0,0,1.905458568,0
334_1-43_1,non-IBD,46,0,0,1.905458568,0
334_1-44_1,IBD,40,0,0,1.910530706,0
334_1-44_1,non-IBD,96,0,0,1.910530706,0
334_1-44_3,IBD,13,0,0,1.911241146,0
334_1-44_3,non-IBD,163,0,0,1.911241146,0
334_1-45_1,IBD,616,0,0,1.990707459,0
334_1-45_1,non-IBD,928,0,0,1.990707459,0
334_1-48_2,IBD,328,0,0,1.921552835,0
334_1-48_2,non-IBD,287,0,0,1.921552835,0
334_1-66_3,IBD,52,11,0.21153846153846154,1.5400972280000005,0.21153846153846154
334_1-66_3,non-IBD,63,0,0,1.5400972280000005,0.21153846153846154
334_1-66_5,IBD,260,0,0,1.533055012,0
334_1-66_5,non-IBD,797,0,0,1.533055012,0
334_1-90_1,IBD,94,0,0,1.7991218309999997,0
334_1-90_1,non-IBD,16,0,0,1.7991218309999997,0
334_1-96_1,IBD,52,0,0,1.959147679,0
334_1-96_1,non-IBD,96,0,0,1.959147679,0
334_1-97_1,IBD,43,0,0,1.99129576,0
334_1-97_1,non-IBD,107,0,0,1.99129576,0
334_3-335_1,IBD,44,1,0.022727272727272728,0.0606970949999996,-0.006157189424121693
334_3-335_1,non-IBD,2008,58,0.02888446215139442,0.0606970949999996,-0.006157189424121693
334_3-338_1,IBD,166,0,0,0.2109726250000001,-0.046296296296296294
334_3-338_1,non-IBD,1080,50,0.046296296296296294,0.2109726250000001,-0.046296296296296294
334_3-45_1,IBD,18,0,0,1.997853823,0
334_3-45_1,non-IBD,369,0,0,1.997853823,0
334_3-48_2,IBD,13,0,0,1.928699199,0
334_3-48_2,non-IBD,229,0,0,1.928699199,0
334_3-66_5,IBD,545,0,0,1.540201376,0
334_3-66_5,non-IBD,506,0,0,1.540201376,0
335_1-33_1,IBD,56,0,0,1.895091957,0
335_1-33_1,non-IBD,201,0,0,1.895091957,0
335_1-336_1,IBD,243,0,0,0.1848525299999996,0
335_1-336_1,non-IBD,299,0,0,0.1848525299999996,0
335_1-338_1,IBD,14435,36,0.0024939383443020437,0.2010297639999998,-3.564179502347736e-4
335_1-338_1,non-IBD,25260,72,0.0028503562945368173,0.2010297639999998,-3.564179502347736e-4
335_1-36_1,IBD,20,0,0,1.913229349,0
335_1-36_1,non-IBD,210,0,0,1.913229349,0
335_1-37_1,IBD,63,0,0,1.906765762,0
335_1-37_1,non-IBD,236,0,0,1.906765762,0
335_1-39_2,IBD,20,0,0,1.900610418,0
335_1-39_2,non-IBD,318,0,0,1.900610418,0
335_1-39_5,IBD,142,0,0,1.905373415,0
335_1-39_5,non-IBD,1138,0,0,1.905373415,0
335_1-4_3,IBD,80,0,0,1.80000899,0
335_1-4_3,non-IBD,94,0,0,1.80000899,0
335_1-40_1,IBD,12,0,0,1.902184303,0
335_1-40_1,non-IBD,41,0,0,1.902184303,0
335_1-41_1,IBD,36,0,0,1.909906104,0
335_1-41_1,non-IBD,11,0,0,1.909906104,0
335_1-42_2,IBD,282,0,0,1.896073061,0
335_1-42_2,non-IBD,1394,0,0,1.896073061,0
335_1-43_1,IBD,24,0,0,1.902662071,0
335_1-43_1,non-IBD,1254,0,0,1.902662071,0
335_1-44_1,IBD,1458,0,0,1.907734209,0
335_1-44_1,non-IBD,982,0,0,1.907734209,0
335_1-44_3,IBD,496,0,0,1.9084446489999995,0
335_1-44_3,non-IBD,2004,0,0,1.9084446489999995,0
335_1-45_1,IBD,10734,0,0,1.987910962,0
335_1-45_1,non-IBD,14929,0,0,1.987910962,0
335_1-46_1,IBD,594,0,0,1.856534338,-2.2568269013766644e-4
335_1-46_1,non-IBD,4431,1,2.2568269013766644e-4,1.856534338,-2.2568269013766644e-4
335_1-47_2,IBD,72,0,0,1.860943853,0
335_1-47_2,non-IBD,149,0,0,1.860943853,0
335_1-48_2,IBD,2070,0,0,1.918756338,-8.008970046452026e-4
335_1-48_2,non-IBD,6243,5,8.008970046452026e-4,1.918756338,-8.008970046452026e-4
335_1-50_1,IBD,42,0,0,1.913719255,0
335_1-50_1,non-IBD,475,0,0,1.913719255,0
335_1-52_1,IBD,68,0,0,1.920832326,0
335_1-52_1,non-IBD,158,0,0,1.920832326,0
335_1-66_3,IBD,19,0,0,1.537300731,0
335_1-66_3,non-IBD,392,0,0,1.537300731,0
335_1-66_4,IBD,154,0,0,1.5317403089999997,0
335_1-66_4,non-IBD,107,0,0,1.5317403089999997,0
335_1-66_5,IBD,2377,16,0.006731173748422381,1.5302585149999997,0.002151198097660018
335_1-66_5,non-IBD,17249,79,0.004579975650762363,1.5302585149999997,0.002151198097660018
335_1-76_2,IBD,60,0,0,1.5266323509999995,0
335_1-76_2,non-IBD,266,0,0,1.5266323509999995,0
335_1-9_2,IBD,226,0,0,1.6911678799999998,0
335_1-9_2,non-IBD,153,0,0,1.6911678799999998,0
335_1-90_1,IBD,47,0,0,1.7963253339999994,0
335_1-90_1,non-IBD,759,0,0,1.7963253339999994,0
335_1-92_1,IBD,73,0,0,1.8594421999999995,0
335_1-92_1,non-IBD,318,0,0,1.8594421999999995,0
335_1-96_1,IBD,783,0,0,1.956351182,0
335_1-96_1,non-IBD,1206,0,0,1.956351182,0
335_1-97_1,IBD,1113,0,0,1.988499263,0
335_1-97_1,non-IBD,1116,0,0,1.988499263,0
336_1-338_1,IBD,748,17,0.022727272727272728,0.1781277420000002,-0.001224823081110507
336_1-338_1,non-IBD,167,4,0.023952095808383235,0.1781277420000002,-0.001224823081110507
336_1-42_2,IBD,20,0,0,1.914061609,0
336_1-42_2,non-IBD,26,0,0,1.914061609,0
336_1-45_1,IBD,591,0,0,2.00589951,0
336_1-45_1,non-IBD,52,0,0,2.00589951,0
336_1-48_2,IBD,168,0,0,1.936744886,0
336_1-48_2,non-IBD,33,0,0,1.936744886,0
336_1-66_5,IBD,961,0,0,1.548247063,0
336_1-66_5,non-IBD,106,0,0,1.548247063,0
338_1-33_1,IBD,77,0,0,1.929257739,0
338_1-33_1,non-IBD,69,0,0,1.929257739,0
338_1-36_1,IBD,40,0,0,1.947395131,0
338_1-36_1,non-IBD,117,0,0,1.947395131,0
338_1-37_1,IBD,15,0,0,1.940931544,0
338_1-37_1,non-IBD,296,0,0,1.940931544,0
338_1-39_2,IBD,13,0,0,1.9347762,0
338_1-39_2,non-IBD,187,0,0,1.9347762,0
338_1-39_5,IBD,93,0,0,1.939539197,-0.012127894156560088
338_1-39_5,non-IBD,907,11,0.012127894156560088,1.939539197,-0.012127894156560088
338_1-4_3,IBD,18,0,0,1.834174772,0
338_1-4_3,non-IBD,50,0,0,1.834174772,0
338_1-40_1,IBD,72,0,0,1.936350085,0
338_1-40_1,non-IBD,19,0,0,1.936350085,0
338_1-42_2,IBD,414,0,0,1.930238843,0
338_1-42_2,non-IBD,1039,0,0,1.930238843,0
338_1-43_1,IBD,150,0,0,1.9368278530000005,0
338_1-43_1,non-IBD,843,0,0,1.9368278530000005,0
338_1-44_1,IBD,1175,0,0,1.941899991,0
338_1-44_1,non-IBD,458,0,0,1.941899991,0
338_1-44_3,IBD,1009,0,0,1.942610431,0
338_1-44_3,non-IBD,1484,0,0,1.942610431,0
338_1-44_5,IBD,20,0,0,1.944994172,0
338_1-44_5,non-IBD,33,0,0,1.944994172,0
338_1-45_1,IBD,9815,0,0,2.022076744,0
338_1-45_1,non-IBD,10142,0,0,2.022076744,0
338_1-46_1,IBD,695,0,0,1.89070012,0
338_1-46_1,non-IBD,2780,0,0,1.89070012,0
338_1-48_2,IBD,2615,55,0.021032504780114723,1.95292212,0.021032504780114723
338_1-48_2,non-IBD,3905,0,0,1.95292212,0.021032504780114723
338_1-50_1,IBD,11,0,0,1.947885037,0
338_1-50_1,non-IBD,173,0,0,1.947885037,0
338_1-52_1,IBD,128,0,0,1.954998108,0
338_1-52_1,non-IBD,130,0,0,1.954998108,0
338_1-66_3,IBD,31,0,0,1.571466513,0
338_1-66_3,non-IBD,389,0,0,1.571466513,0
338_1-66_5,IBD,2449,36,0.014699877501020826,1.5644242970000002,0.014606758961119532
338_1-66_5,non-IBD,10739,1,9.311853990129435e-5,1.5644242970000002,0.014606758961119532
338_1-9_2,IBD,36,0,0,1.725333662,0
338_1-9_2,non-IBD,163,0,0,1.725333662,0
338_1-90_1,IBD,148,0,0,1.830491116,0
338_1-90_1,non-IBD,423,0,0,1.830491116,0
338_1-96_1,IBD,526,0,0,1.990516964,0
338_1-96_1,non-IBD,990,0,0,1.990516964,0
338_1-97_1,IBD,275,0,0,2.022665045,0
338_1-97_1,non-IBD,1047,0,0,2.022665045,0
36_1-66_5,IBD,12,0,0,1.826026826,0
36_1-66_5,non-IBD,64,0,0,1.826026826,0
37_1-45_1,IBD,42,41,0.9761904761904762,0.4780615179999996,0.8000246730816679
37_1-45_1,non-IBD,193,34,0.17616580310880828,0.4780615179999996,0.8000246730816679
37_1-48_2,IBD,35,32,0.9142857142857143,0.2031589539999996,0.14957983193277313
37_1-48_2,non-IBD,34,26,0.7647058823529411,0.2031589539999996,0.14957983193277313
39_1-66_5,IBD,12,0,0,1.811103476,0
39_1-66_5,non-IBD,23,0,0,1.811103476,0
39_5-48_2,IBD,56,51,0.9107142857142857,0.1515735029999998,0.4107142857142857
39_5-48_2,non-IBD,378,189,0.5,0.1515735029999998,0.4107142857142857
39_5-66_5,IBD,98,0,0,1.818170892,0
39_5-66_5,non-IBD,449,0,0,1.818170892,0
40_1-48_2,IBD,30,0,0,0.1985774949999998,-0.2727272727272727
40_1-48_2,non-IBD,22,6,0.2727272727272727,0.1985774949999998,-0.2727272727272727
40_1-66_5,IBD,24,0,0,1.81498178,0
40_1-66_5,non-IBD,15,0,0,1.81498178,0
42_2-44_1,IBD,39,34,0.8717948717948718,0.071183086,0.3717948717948718
42_2-44_1,non-IBD,30,15,0.5,0.071183086,0.3717948717948718
42_2-44_3,IBD,43,40,0.9302325581395349,0.0718935259999997,0.48418939267190897
42_2-44_3,non-IBD,139,62,0.4460431654676259,0.0718935259999997,0.48418939267190897
42_2-45_1,IBD,488,382,0.7827868852459017,0.4673688170000001,0.522995762530497
42_2-45_1,non-IBD,766,199,0.2597911227154047,0.4673688170000001,0.522995762530497
42_2-46_1,IBD,19,9,0.47368421052631576,0.246881611,0.07368421052631574
42_2-46_1,non-IBD,220,88,0.4,0.246881611,0.07368421052631574
42_2-48_2,IBD,128,77,0.6015625,0.1924662529999996,0.15519571799307957
42_2-48_2,non-IBD,289,129,0.4463667820069204,0.1924662529999996,0.15519571799307957
42_2-66_5,IBD,102,0,0,1.808870538,0
42_2-66_5,non-IBD,655,0,0,1.808870538,0
42_2-96_1,IBD,38,0,0,2.439210611,0
42_2-96_1,non-IBD,51,0,0,2.439210611,0
43_1-44_1,IBD,15,0,0,0.0587964099999998,-0.7045454545454546
43_1-44_1,non-IBD,44,31,0.7045454545454546,0.0587964099999998,-0.7045454545454546
43_1-44_3,IBD,15,12,0.8,0.05950685,0.027722772277227747
43_1-44_3,non-IBD,101,78,0.7722772277227723,0.05950685,0.027722772277227747
43_1-45_1,IBD,141,113,0.8014184397163121,0.473957827,0.49615528182157526
43_1-45_1,non-IBD,475,145,0.30526315789473685,0.473957827,0.49615528182157526
43_1-46_1,IBD,24,7,0.2916666666666667,0.2534706210000004,-0.027173913043478215
43_1-46_1,non-IBD,138,44,0.3188405797101449,0.2534706210000004,-0.027173913043478215
43_1-48_2,IBD,99,90,0.9090909090909091,0.1990552629999999,0.29675610732879454
43_1-48_2,non-IBD,227,139,0.6123348017621145,0.1990552629999999,0.29675610732879454
43_1-66_5,IBD,27,0,0,1.815459548,-0.0039603960396039604
43_1-66_5,non-IBD,505,2,0.0039603960396039604,1.815459548,-0.0039603960396039604
44_1-44_3,IBD,37,25,0.6756756756756757,0.018028584,0.23567567567567566
44_1-44_3,non-IBD,50,22,0.44,0.018028584,0.23567567567567566
44_1-45_1,IBD,1166,557,0.4777015437392796,0.4790299649999996,0.28395154373927955
44_1-45_1,non-IBD,160,31,0.19375,0.4790299649999996,0.28395154373927955
44_1-46_1,IBD,47,47,1,0.2585427589999995,0.4
44_1-46_1,non-IBD,85,51,0.6,0.2585427589999995,0.4
44_1-48_2,IBD,213,167,0.784037558685446,0.2041274009999996,0.016841791489678792
44_1-48_2,non-IBD,189,145,0.7671957671957672,0.2041274009999996,0.016841791489678792
44_1-66_5,IBD,104,0,0,1.820531686,-0.005420054200542005
44_1-66_5,non-IBD,369,2,0.005420054200542005,1.820531686,-0.005420054200542005
44_3-45_1,IBD,750,336,0.448,0.4797404049999998,0.0808392246294185
44_3-45_1,non-IBD,877,322,0.3671607753705815,0.4797404049999998,0.0808392246294185
44_3-46_1,IBD,59,23,0.3898305084745763,0.2592531990000002,0.04500292226767971
44_3-46_1,non-IBD,261,90,0.3448275862068966,0.2592531990000002,0.04500292226767971
44_3-48_2,IBD,347,260,0.7492795389048992,0.2048378409999998,0.22994252233031354
44_3-48_2,non-IBD,362,188,0.5193370165745856,0.2048378409999998,0.22994252233031354
44_3-52_1,IBD,12,4,0.3333333333333333,0.2069138289999998,0.1111111111111111
44_3-52_1,non-IBD,27,6,0.2222222222222222,0.2069138289999998,0.1111111111111111
44_3-66_3,IBD,16,0,0,1.828284342,0
44_3-66_3,non-IBD,34,0,0,1.828284342,0
44_3-66_5,IBD,362,0,0,1.821242126,-0.002277904328018223
44_3-66_5,non-IBD,878,2,0.002277904328018223,1.821242126,-0.002277904328018223
44_3-90_1,IBD,16,0,0,2.291556350999999,0
44_3-90_1,non-IBD,77,0,0,2.291556350999999,0
44_3-96_1,IBD,27,0,0,2.451582199,0
44_3-96_1,non-IBD,38,0,0,2.451582199,0
44_3-97_1,IBD,46,0,0,2.48373028,0
44_3-97_1,non-IBD,87,0,0,2.48373028,0
44_5-66_5,IBD,22,0,0,1.823625867,0
44_5-66_5,non-IBD,21,0,0,1.823625867,0
